route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
301,HABIL-W1,301_0_1001,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1003,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1005,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1007,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1009,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1011,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1013,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1015,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1017,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1019,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1021,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1023,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1025,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1027,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1029,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1031,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1033,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1035,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1037,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1039,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1041,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1043,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1045,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1047,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1049,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1051,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1053,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1055,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1057,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1059,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1061,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1063,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1065,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1067,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1069,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1071,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1073,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1075,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1077,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1079,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1081,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1083,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1085,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1087,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1089,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1091,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1093,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1095,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1097,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1099,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1101,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1103,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1105,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1107,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1109,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1111,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1113,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1115,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1117,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1119,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1121,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1123,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1125,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1127,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1129,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1131,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1133,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1135,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1137,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1139,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1141,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1143,Ruta 301 - Norte,0,301_107
301,HABIL-W1,301_0_1145,Ruta 301 - Norte,0,301_107
